size,file,processes,threads,blocks,duration
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,32,32,6.861644
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,32,32,6.860894
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,32,32,6.861369
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,32,32,6.878556
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,32,32,6.863602
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,32,32,6.85962
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,32,32,6.853561
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.862635
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.861958
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.861078
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.853768
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.85847
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.865423
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.864214
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.862177
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.878959
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.865028
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.866346
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.858439
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.864104
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.861735
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,64,32,6.870664
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.863846
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.862318
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.862685
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.861901
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.861626
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.859947
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.864792
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.855007
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.860789
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.857353
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.85787
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.894873
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.864695
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.855763
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,128,32,6.863944
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.872003
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.862128
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.85915
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.856444
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.86301
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.860394
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.859713
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.859699
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.857604
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.856387
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.860501
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.862411
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.85552
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.862917
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,256,32,6.854191
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.862809
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.860927
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.864782
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.85989
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.862326
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.868053
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.858466
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.861063
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.858822
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.863688
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.86344
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.86142
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.861865
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.862336
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,512,32,6.861214
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.862166
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.865143
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.861551
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.862264
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.861189
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.863388
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.860486
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.926817
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.860902
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.864225
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.864271
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.857232
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.859432
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.858785
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,1024,32,6.866557
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.087125
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.080839
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.077641
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.080512
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.078073
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.085737
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.08516
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.081893
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.083155
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.086522
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.081283
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.079242
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.084144
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.079656
512,MPI+Cuda/mandelbrot_openmpi+cuda,2,2048,32,0.075244
