size,file,processes,threads,duration
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.750006
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.631124
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.648411
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.565386
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.596294
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.627647
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.672569
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.652809
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.60078
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.653439
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.646404
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.608153
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.649249
4096,MPI+OMP/mandelbrot_openmpi+omp,2,64,5.62744
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.657514
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.521641
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.664168
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.600283
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.645543
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.648456
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.604346
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.653152
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.689375
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.647613
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.569251
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.612112
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.668181
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.596902
4096,MPI+OMP/mandelbrot_openmpi+omp,2,128,5.657252
