size,file,threads,blocks,duration
4096,Cuda/mandelbrot_cuda,128,64,2.231084
4096,Cuda/mandelbrot_cuda,128,64,2.235475
4096,Cuda/mandelbrot_cuda,128,64,2.226117
4096,Cuda/mandelbrot_cuda,128,64,2.213146
4096,Cuda/mandelbrot_cuda,128,64,2.227398
4096,Cuda/mandelbrot_cuda,128,64,2.286221
4096,Cuda/mandelbrot_cuda,128,64,2.190225
4096,Cuda/mandelbrot_cuda,256,64,2.214407
4096,Cuda/mandelbrot_cuda,256,64,2.222364
4096,Cuda/mandelbrot_cuda,256,64,2.223606
4096,Cuda/mandelbrot_cuda,256,64,2.219188
4096,Cuda/mandelbrot_cuda,256,64,2.236181
4096,Cuda/mandelbrot_cuda,256,64,2.27023
4096,Cuda/mandelbrot_cuda,256,64,2.173687
4096,Cuda/mandelbrot_cuda,256,64,2.214482
4096,Cuda/mandelbrot_cuda,256,64,2.238366
4096,Cuda/mandelbrot_cuda,256,64,2.26463
4096,Cuda/mandelbrot_cuda,256,64,2.210765
4096,Cuda/mandelbrot_cuda,256,64,2.294182
4096,Cuda/mandelbrot_cuda,256,64,2.223728
4096,Cuda/mandelbrot_cuda,256,64,2.211918
4096,Cuda/mandelbrot_cuda,256,64,2.236553
4096,Cuda/mandelbrot_cuda,512,64,2.237951
4096,Cuda/mandelbrot_cuda,512,64,2.230769
4096,Cuda/mandelbrot_cuda,512,64,2.258984
4096,Cuda/mandelbrot_cuda,512,64,2.263214
4096,Cuda/mandelbrot_cuda,512,64,2.290915
4096,Cuda/mandelbrot_cuda,512,64,2.235287
4096,Cuda/mandelbrot_cuda,512,64,2.18936
4096,Cuda/mandelbrot_cuda,512,64,2.235983
4096,Cuda/mandelbrot_cuda,512,64,2.237348
4096,Cuda/mandelbrot_cuda,512,64,2.27328
4096,Cuda/mandelbrot_cuda,512,64,2.243412
4096,Cuda/mandelbrot_cuda,512,64,2.265309
4096,Cuda/mandelbrot_cuda,512,64,2.204267
4096,Cuda/mandelbrot_cuda,512,64,2.213142
4096,Cuda/mandelbrot_cuda,512,64,2.229786
4096,Cuda/mandelbrot_cuda,1024,64,2.250016
4096,Cuda/mandelbrot_cuda,1024,64,2.182917
4096,Cuda/mandelbrot_cuda,1024,64,2.220875
4096,Cuda/mandelbrot_cuda,1024,64,2.239669
4096,Cuda/mandelbrot_cuda,1024,64,2.235771
4096,Cuda/mandelbrot_cuda,1024,64,2.227373
4096,Cuda/mandelbrot_cuda,1024,64,2.253034
4096,Cuda/mandelbrot_cuda,1024,64,2.296346
4096,Cuda/mandelbrot_cuda,1024,64,2.222664
4096,Cuda/mandelbrot_cuda,1024,64,2.214958
4096,Cuda/mandelbrot_cuda,1024,64,2.21977
4096,Cuda/mandelbrot_cuda,1024,64,2.211251
4096,Cuda/mandelbrot_cuda,1024,64,2.228089
4096,Cuda/mandelbrot_cuda,1024,64,2.224794
4096,Cuda/mandelbrot_cuda,1024,64,2.229055
4096,Cuda/mandelbrot_cuda,2048,64,2.236803
4096,Cuda/mandelbrot_cuda,2048,64,2.223266
4096,Cuda/mandelbrot_cuda,2048,64,2.213836
4096,Cuda/mandelbrot_cuda,2048,64,2.215635
4096,Cuda/mandelbrot_cuda,2048,64,2.247999
4096,Cuda/mandelbrot_cuda,2048,64,2.279867
4096,Cuda/mandelbrot_cuda,2048,64,2.223236
4096,Cuda/mandelbrot_cuda,2048,64,2.217162
4096,Cuda/mandelbrot_cuda,2048,64,2.19869
4096,Cuda/mandelbrot_cuda,2048,64,2.238227
4096,Cuda/mandelbrot_cuda,2048,64,2.213904
4096,Cuda/mandelbrot_cuda,2048,64,2.21664
4096,Cuda/mandelbrot_cuda,2048,64,2.231885
4096,Cuda/mandelbrot_cuda,2048,64,2.217611
4096,Cuda/mandelbrot_cuda,2048,64,2.236792
